hidden_size,n_layers,chunk_len,batch_size,learning_rate,total_time
100,1,200,100,0.01,13.794755887985229
100,2,200,100,0.01,19.58714911142985
100,3,200,100,0.01,25.26620492140452
100,4,200,100,0.01,29.848043803373972
50,2,200,100,0.01,17.20224019686381
100,2,200,100,0.01,18.84146266380946
150,2,200,100,0.01,25.06078771352768
200,2,200,100,0.01,27.05649036169052
100,2,200,100,0.005,18.593635841210684
100,2,200,100,0.01,18.748696275552113
100,2,200,100,0.05,19.934254535039265
100,2,200,100,0.1,20.503673819700875
100,2,50,100,0.01,4.972938962777456
100,2,100,100,0.01,9.778611294428508
100,2,200,100,0.01,18.81679971218109
100,2,300,100,0.01,27.912136828899385
